id,city,region,country,division
LincolnArgentina,Lincoln,Buenos Aires,Argentina,LATAM
Libertador General San MartínArgentina,Libertador General San Martín,Jujuy,Argentina,LATAM
Las BreñasArgentina,Las Breñas,Chaco,Argentina,LATAM
La RiojaArgentina,La Rioja,La Rioja,Argentina,LATAM
La FaldaArgentina,La Falda,Cordoba,Argentina,LATAM
La CaleraArgentina,La Calera,Cordoba,Argentina,LATAM
LaboulayeArgentina,Laboulaye,Cordoba,Argentina,LATAM
JunínArgentina,Junín,Buenos Aires,Argentina,LATAM
Joaquín V. GonzálezArgentina,Joaquín V. González,Salta,Argentina,LATAM
Jesús MaríaArgentina,Jesús María,Cordoba,Argentina,LATAM
Granadero BaigorriaArgentina,Granadero Baigorria,Santa Fe,Argentina,LATAM
Gobernador GálvezArgentina,Gobernador Gálvez,Santa Fe,Argentina,LATAM
General RocaArgentina,General Roca,Rio Negro,Argentina,LATAM
General PinedoArgentina,General Pinedo,Chaco,Argentina,LATAM
General PicoArgentina,General Pico,La Pampa,Argentina,LATAM
General Enrique MosconiArgentina,General Enrique Mosconi,Salta,Argentina,LATAM
GálvezArgentina,Gálvez,Santa Fe,Argentina,LATAM
FirmatArgentina,Firmat,Santa Fe,Argentina,LATAM
FamailláArgentina,Famaillá,Tucumán,Argentina,LATAM
EsquelArgentina,Esquel,Chubut,Argentina,LATAM
EsperanzaArgentina,Esperanza,Santa Fe,Argentina,LATAM
EmbarcaciónArgentina,Embarcación,Salta,Argentina,LATAM
EmbalseArgentina,Embalse,Cordoba,Argentina,LATAM
El BolsónArgentina,El Bolsón,Rio Negro,Argentina,LATAM
DiamanteArgentina,Diamante,Entre Rios,Argentina,LATAM
Deán FunesArgentina,Deán Funes,Cordoba,Argentina,LATAM
Cutral-CóArgentina,Cutral-Có,Neuquen,Argentina,LATAM
Cruz del EjeArgentina,Cruz del Eje,Cordoba,Argentina,LATAM
CrespoArgentina,Crespo,Entre Rios,Argentina,LATAM
CosquínArgentina,Cosquín,Cordoba,Argentina,LATAM
Coronel SuárezArgentina,Coronel Suárez,Buenos Aires,Argentina,LATAM
CorondaArgentina,Coronda,Santa Fe,Argentina,LATAM
CórdobaArgentina,Córdoba,Cordoba,Argentina,LATAM
Comodoro RivadaviaArgentina,Comodoro Rivadavia,Chubut,Argentina,LATAM
CipollettiArgentina,Cipolletti,Rio Negro,Argentina,LATAM
Cinco SaltosArgentina,Cinco Saltos,Rio Negro,Argentina,LATAM
ChivilcoyArgentina,Chivilcoy,Buenos Aires,Argentina,LATAM
ChimbasArgentina,Chimbas,San Juan,Argentina,LATAM
ChilecitoArgentina,Chilecito,La Rioja,Argentina,LATAM
CharataArgentina,Charata,Chaco,Argentina,LATAM
ChacabucoArgentina,Chacabuco,Buenos Aires,Argentina,LATAM
CentenarioArgentina,Centenario,Neuquen,Argentina,LATAM
CauceteArgentina,Caucete,San Juan,Argentina,LATAM
CatrielArgentina,Catriel,Rio Negro,Argentina,LATAM
CastelliArgentina,Castelli,Chaco,Argentina,LATAM
CasildaArgentina,Casilda,Santa Fe,Argentina,LATAM
CarcarañáArgentina,Carcarañá,Santa Fe,Argentina,LATAM
Capitán BermúdezArgentina,Capitán Bermúdez,Santa Fe,Argentina,LATAM
Cañada de GómezArgentina,Cañada de Gómez,Santa Fe,Argentina,LATAM
Caleta OliviaArgentina,Caleta Olivia,Santa Cruz,Argentina,LATAM
Bell VilleArgentina,Bell Ville,Cordoba,Argentina,LATAM
Bella VistaArgentina,Bella Vista,Tucumán,Argentina,LATAM
Bahía BlancaArgentina,Bahía Blanca,Buenos Aires,Argentina,LATAM
Arroyo SecoArgentina,Arroyo Seco,Santa Fe,Argentina,LATAM
ArroyitoArgentina,Arroyito,Cordoba,Argentina,LATAM
AñatuyaArgentina,Añatuya,Santiago del Estero,Argentina,LATAM
Alta GraciaArgentina,Alta Gracia,Cordoba,Argentina,LATAM
AllenArgentina,Allen,Rio Negro,Argentina,LATAM
AlderetesArgentina,Alderetes,Tucumán,Argentina,LATAM
AlbardónArgentina,Albardón,San Juan,Argentina,LATAM
AguilaresArgentina,Aguilares,Tucumán,Argentina,LATAM
Villa Santa RitaArgentina,Villa Santa Rita,Buenos Aires F.D.,Argentina,LATAM
Villa MercedesArgentina,Villa Mercedes,San Luis,Argentina,LATAM
San Carlos de BarilocheArgentina,San Carlos de Bariloche,Rio Negro,Argentina,LATAM
AdroguéArgentina,Adrogué,Buenos Aires,Argentina,LATAM
WolfsbergAustria,Wolfsberg,Carinthia,Austria,Europe
Wiener NeustadtAustria,Wiener Neustadt,Lower Austria,Austria,Europe
ViennaAustria,Vienna,Vienna,Austria,Europe
WelsAustria,Wels,Upper Austria,Austria,Europe
Weinzierl bei KremsAustria,Weinzierl bei Krems,Lower Austria,Austria,Europe
VillachAustria,Villach,Carinthia,Austria,Europe
TraunAustria,Traun,Upper Austria,Austria,Europe
TraiskirchenAustria,Traiskirchen,Lower Austria,Austria,Europe
TernitzAustria,Ternitz,Lower Austria,Austria,Europe
SteyrAustria,Steyr,Upper Austria,Austria,Europe
Spittal an der DrauAustria,Spittal an der Drau,Carinthia,Austria,Europe
SchwechatAustria,Schwechat,Lower Austria,Austria,Europe
Sankt PöltenAustria,Sankt Pölten,Lower Austria,Austria,Europe
SalzburgAustria,Salzburg,Salzburg,Austria,Europe
Saalfelden am Steinernen MeerAustria,Saalfelden am Steinernen Meer,Salzburg,Austria,Europe
MödlingAustria,Mödling,Lower Austria,Austria,Europe
LustenauAustria,Lustenau,Vorarlberg,Austria,Europe
LinzAustria,Linz,Upper Austria,Austria,Europe
LeondingAustria,Leonding,Upper Austria,Austria,Europe
LeobenAustria,Leoben,Styria,Austria,Europe
KufsteinAustria,Kufstein,Tyrol,Austria,Europe
Krems an der DonauAustria,Krems an der Donau,Lower Austria,Austria,Europe
KlosterneuburgAustria,Klosterneuburg,Lower Austria,Austria,Europe
Klagenfurt am WörtherseeAustria,Klagenfurt am Wörthersee,Carinthia,Austria,Europe
KapfenbergAustria,Kapfenberg,Styria,Austria,Europe
InnsbruckAustria,Innsbruck,Tyrol,Austria,Europe
HalleinAustria,Hallein,Salzburg,Austria,Europe
GrazAustria,Graz,Styria,Austria,Europe
FeldkirchAustria,Feldkirch,Vorarlberg,Austria,Europe
DornbirnAustria,Dornbirn,Vorarlberg,Austria,Europe
BregenzAustria,Bregenz,Vorarlberg,Austria,Europe
Braunau am InnAustria,Braunau am Inn,Upper Austria,Austria,Europe
BadenAustria,Baden,Lower Austria,Austria,Europe
AmstettenAustria,Amstetten,Lower Austria,Austria,Europe
AnsfeldenAustria,Ansfelden,Salzburg,Austria,Europe
ZwijndrechtBelgium,Zwijndrecht,Flanders,Belgium,Europe
ZwevegemBelgium,Zwevegem,Flanders,Belgium,Europe
ZottegemBelgium,Zottegem,Flanders,Belgium,Europe
ZonhovenBelgium,Zonhoven,Flanders,Belgium,Europe
ZoerselBelgium,Zoersel,Flanders,Belgium,Europe
ZemstBelgium,Zemst,Flanders,Belgium,Europe
ZeleBelgium,Zele,Flanders,Belgium,Europe
ZedelgemBelgium,Zedelgem,Flanders,Belgium,Europe
ZaventemBelgium,Zaventem,Flanders,Belgium,Europe
WuustwezelBelgium,Wuustwezel,Flanders,Belgium,Europe
WillebroekBelgium,Willebroek,Flanders,Belgium,Europe
WevelgemBelgium,Wevelgem,Flanders,Belgium,Europe
WetterenBelgium,Wetteren,Flanders,Belgium,Europe
WesterloBelgium,Westerlo,Flanders,Belgium,Europe
WervikBelgium,Wervik,Flanders,Belgium,Europe
WavreBelgium,Wavre,Wallonia,Belgium,Europe
WaterlooBelgium,Waterloo,Wallonia,Belgium,Europe
WaregemBelgium,Waregem,Flanders,Belgium,Europe
WalcourtBelgium,Walcourt,Wallonia,Belgium,Europe
ViséBelgium,Visé,Wallonia,Belgium,Europe
VilvoordeBelgium,Vilvoorde,Flanders,Belgium,Europe
VerviersBelgium,Verviers,Wallonia,Belgium,Europe
TurnhoutBelgium,Turnhout,Flanders,Belgium,Europe
TubizeBelgium,Tubize,Wallonia,Belgium,Europe
TournaiBelgium,Tournai,Wallonia,Belgium,Europe
TorhoutBelgium,Torhout,Flanders,Belgium,Europe
TongerenBelgium,Tongeren,Flanders,Belgium,Europe
TienenBelgium,Tienen,Flanders,Belgium,Europe
TieltBelgium,Tielt,Flanders,Belgium,Europe
TessenderloBelgium,Tessenderlo,Flanders,Belgium,Europe
TervurenBelgium,Tervuren,Flanders,Belgium,Europe
TemseBelgium,Temse,Flanders,Belgium,Europe
StekeneBelgium,Stekene,Flanders,Belgium,Europe
StabroekBelgium,Stabroek,Flanders,Belgium,Europe
SoumagneBelgium,Soumagne,Wallonia,Belgium,Europe
SoigniesBelgium,Soignies,Wallonia,Belgium,Europe
Sint-TruidenBelgium,Sint-Truiden,Flanders,Belgium,Europe
Sint-Pieters-LeeuwBelgium,Sint-Pieters-Leeuw,Flanders,Belgium,Europe
Sint-NiklaasBelgium,Sint-Niklaas,Flanders,Belgium,Europe
Sint-KruisBelgium,Sint-Kruis,Flanders,Belgium,Europe
Sint-Katelijne-WaverBelgium,Sint-Katelijne-Waver,Flanders,Belgium,Europe
Sint-Gillis-WaasBelgium,Sint-Gillis-Waas,Flanders,Belgium,Europe
Sint-Genesius-RodeBelgium,Sint-Genesius-Rode,Flanders,Belgium,Europe
SeraingBelgium,Seraing,Wallonia,Belgium,Europe
SchotenBelgium,Schoten,Flanders,Belgium,Europe
SchildeBelgium,Schilde,Flanders,Belgium,Europe
Saint-NicolasBelgium,Saint-Nicolas,Wallonia,Belgium,Europe
Saint-GhislainBelgium,Saint-Ghislain,Wallonia,Belgium,Europe
RotselaarBelgium,Rotselaar,Flanders,Belgium,Europe
RonseBelgium,Ronse,Flanders,Belgium,Europe
RoeselareBelgium,Roeselare,Flanders,Belgium,Europe
RixensartBelgium,Rixensart,Wallonia,Belgium,Europe
RiemstBelgium,Riemst,Flanders,Belgium,Europe
RanstBelgium,Ranst,Flanders,Belgium,Europe
QuaregnonBelgium,Quaregnon,Wallonia,Belgium,Europe
PuursBelgium,Puurs,Flanders,Belgium,Europe
PutteBelgium,Putte,Flanders,Belgium,Europe
PoperingeBelgium,Poperinge,Flanders,Belgium,Europe
Pont-à-CellesBelgium,Pont-à-Celles,Wallonia,Belgium,Europe
PéruwelzBelgium,Péruwelz,Wallonia,Belgium,Europe
PeerBelgium,Peer,Flanders,Belgium,Europe
OverijseBelgium,Overijse,Flanders,Belgium,Europe
OupeyeBelgium,Oupeye,Wallonia,Belgium,Europe
OudenaardeBelgium,Oudenaarde,Flanders,Belgium,Europe
OostkampBelgium,Oostkamp,Flanders,Belgium,Europe
OstendBelgium,Ostend,Flanders,Belgium,Europe
NivellesBelgium,Nivelles,Wallonia,Belgium,Europe
NinoveBelgium,Ninove,Flanders,Belgium,Europe
NijlenBelgium,Nijlen,Flanders,Belgium,Europe
NeerpeltBelgium,Neerpelt,Flanders,Belgium,Europe
NamurBelgium,Namur,Wallonia,Belgium,Europe
MouscronBelgium,Mouscron,Wallonia,Belgium,Europe
MortselBelgium,Mortsel,Flanders,Belgium,Europe
Morlanwelz-MariemontBelgium,Morlanwelz-Mariemont,Wallonia,Belgium,Europe
MonsBelgium,Mons,Wallonia,Belgium,Europe
MolBelgium,Mol,Flanders,Belgium,Europe
MiddelkerkeBelgium,Middelkerke,Flanders,Belgium,Europe
MerelbekeBelgium,Merelbeke,Flanders,Belgium,Europe
MenenBelgium,Menen,Flanders,Belgium,Europe
MeiseBelgium,Meise,Flanders,Belgium,Europe
MechelenBelgium,Mechelen,Flanders,Belgium,Europe
Marche-en-FamenneBelgium,Marche-en-Famenne,Wallonia,Belgium,Europe
ManageBelgium,Manage,Wallonia,Belgium,Europe
MaldegemBelgium,Maldegem,Flanders,Belgium,Europe
MaasmechelenBelgium,Maasmechelen,Flanders,Belgium,Europe
MaaseikBelgium,Maaseik,Flanders,Belgium,Europe
Louvain-la-NeuveBelgium,Louvain-la-Neuve,Wallonia,Belgium,Europe
LonderzeelBelgium,Londerzeel,Flanders,Belgium,Europe
LommelBelgium,Lommel,Flanders,Belgium,Europe
LokerenBelgium,Lokeren,Flanders,Belgium,Europe
LochristiBelgium,Lochristi,Flanders,Belgium,Europe
LierBelgium,Lier,Flanders,Belgium,Europe
LiègeBelgium,Liège,Wallonia,Belgium,Europe
LeuvenBelgium,Leuven,Flanders,Belgium,Europe
LessinesBelgium,Lessines,Wallonia,Belgium,Europe
LedeBelgium,Lede,Flanders,Belgium,Europe
LebbekeBelgium,Lebbeke,Flanders,Belgium,Europe
LanakenBelgium,Lanaken,Flanders,Belgium,Europe
La LouvièreBelgium,La Louvière,Wallonia,Belgium,Europe
KortrijkBelgium,Kortrijk,Flanders,Belgium,Europe
KortenbergBelgium,Kortenberg,Flanders,Belgium,Europe
KontichBelgium,Kontich,Flanders,Belgium,Europe
KoksijdeBelgium,Koksijde,Flanders,Belgium,Europe
Knokke-HeistBelgium,Knokke-Heist,Flanders,Belgium,Europe
KasterleeBelgium,Kasterlee,Flanders,Belgium,Europe
KapellenBelgium,Kapellen,Flanders,Belgium,Europe
KalmthoutBelgium,Kalmthout,Flanders,Belgium,Europe
IzegemBelgium,Izegem,Flanders,Belgium,Europe
IeperBelgium,Ieper,Flanders,Belgium,Europe
HuyBelgium,Huy,Wallonia,Belgium,Europe
HouthalenBelgium,Houthalen,Flanders,Belgium,Europe
HoogstratenBelgium,Hoogstraten,Flanders,Belgium,Europe
HobokenBelgium,Hoboken,Flanders,Belgium,Europe
HeusdenBelgium,Heusden,Flanders,Belgium,Europe
HerzeleBelgium,Herzele,Flanders,Belgium,Europe
HerveBelgium,Herve,Wallonia,Belgium,Europe
HerstalBelgium,Herstal,Wallonia,Belgium,Europe
HerentalsBelgium,Herentals,Flanders,Belgium,Europe
HerentBelgium,Herent,Flanders,Belgium,Europe
HelchterenBelgium,Helchteren,Flanders,Belgium,Europe
Heist-op-den-BergBelgium,Heist-op-den-Berg,Flanders,Belgium,Europe
HasseltBelgium,Hasselt,Flanders,Belgium,Europe
HarelbekeBelgium,Harelbeke,Flanders,Belgium,Europe
HammeBelgium,Hamme,Flanders,Belgium,Europe
HalleBelgium,Halle,Flanders,Belgium,Europe
HaaltertBelgium,Haaltert,Flanders,Belgium,Europe
GrimbergenBelgium,Grimbergen,Flanders,Belgium,Europe
GeraardsbergenBelgium,Geraardsbergen,Flanders,Belgium,Europe
GentBelgium,Gent,Flanders,Belgium,Europe
GenkBelgium,Genk,Flanders,Belgium,Europe
GemblouxBelgium,Gembloux,Wallonia,Belgium,Europe
GeelBelgium,Geel,Flanders,Belgium,Europe
FrameriesBelgium,Frameries,Wallonia,Belgium,Europe
FleurusBelgium,Fleurus,Wallonia,Belgium,Europe
FléronBelgium,Fléron,Wallonia,Belgium,Europe
Flémalle-HauteBelgium,Flémalle-Haute,Wallonia,Belgium,Europe
EvergemBelgium,Evergem,Flanders,Belgium,Europe
EupenBelgium,Eupen,Wallonia,Belgium,Europe
EssenBelgium,Essen,Flanders,Belgium,Europe
EekloBelgium,Eeklo,Flanders,Belgium,Europe
EdegemBelgium,Edegem,Flanders,Belgium,Europe
DuffelBelgium,Duffel,Flanders,Belgium,Europe
DourBelgium,Dour,Wallonia,Belgium,Europe
DilbeekBelgium,Dilbeek,Flanders,Belgium,Europe
DiksmuideBelgium,Diksmuide,Flanders,Belgium,Europe
DiestBelgium,Diest,Flanders,Belgium,Europe
DiepenbeekBelgium,Diepenbeek,Flanders,Belgium,Europe
DestelbergenBelgium,Destelbergen,Flanders,Belgium,Europe
DendermondeBelgium,Dendermonde,Flanders,Belgium,Europe
DenderleeuwBelgium,Denderleeuw,Flanders,Belgium,Europe
DeinzeBelgium,Deinze,Flanders,Belgium,Europe
CourcellesBelgium,Courcelles,Wallonia,Belgium,Europe
ColfontaineBelgium,Colfontaine,Wallonia,Belgium,Europe
ChaudfontaineBelgium,Chaudfontaine,Wallonia,Belgium,Europe
ChâteletBelgium,Châtelet,Wallonia,Belgium,Europe
Chasse RoyaleBelgium,Chasse Royale,Wallonia,Belgium,Europe
CharleroiBelgium,Charleroi,Wallonia,Belgium,Europe
BrusselsBelgium,Brussels,Brussels Capital,Belgium,Europe
BruggeBelgium,Brugge,Flanders,Belgium,Europe
BrechtBelgium,Brecht,Flanders,Belgium,Europe
BrasschaatBelgium,Brasschaat,Flanders,Belgium,Europe
Braine-le-ComteBelgium,Braine-le-Comte,Wallonia,Belgium,Europe
Braine-l'AlleudBelgium,Braine-l'Alleud,Wallonia,Belgium,Europe
BoussuBelgium,Boussu,Wallonia,Belgium,Europe
BornemBelgium,Bornem,Flanders,Belgium,Europe
BoomBelgium,Boom,Flanders,Belgium,Europe
BlankenbergeBelgium,Blankenberge,Flanders,Belgium,Europe
BincheBelgium,Binche,Wallonia,Belgium,Europe
BilzenBelgium,Bilzen,Flanders,Belgium,Europe
BeverenBelgium,Beveren,Flanders,Belgium,Europe
BeringenBelgium,Beringen,Flanders,Belgium,Europe
BeerselBelgium,Beersel,Flanders,Belgium,Europe
BeerseBelgium,Beerse,Flanders,Belgium,Europe
BalenBelgium,Balen,Flanders,Belgium,Europe
AthBelgium,Ath,Wallonia,Belgium,Europe
AsseBelgium,Asse,Flanders,Belgium,Europe
ArlonBelgium,Arlon,Wallonia,Belgium,Europe
AntwerpenBelgium,Antwerpen,Flanders,Belgium,Europe
AnsBelgium,Ans,Wallonia,Belgium,Europe
AndenneBelgium,Andenne,Wallonia,Belgium,Europe
AarschotBelgium,Aarschot,Flanders,Belgium,Europe
AalterBelgium,Aalter,Flanders,Belgium,Europe
AalstBelgium,Aalst,Flanders,Belgium,Europe
Vitória do MearimBrazil,Vitória do Mearim,Maranhão,Brazil,LATAM
Vitória de Santo AntãoBrazil,Vitória de Santo Antão,Pernambuco,Brazil,LATAM
ViseuBrazil,Viseu,Pará,Brazil,LATAM
CondeBrazil,Conde,Paraíba,Brazil,LATAM
VigiaBrazil,Vigia,Pará,Brazil,LATAM
Viçosa do CearáBrazil,Viçosa do Ceará,Ceará,Brazil,LATAM
ViçosaBrazil,Viçosa,Alagoas,Brazil,LATAM
